,content,date,name
7308,"안녕하세요 랜드드 입니다.7월 24일 ㅇㅍㅅㅁㅂㅇ ㅎㅈㅌ 교수님 진료 보고 왔습니다.같은병원 신경외과 계시는 집안 의사분이 ㅎㅈㅌ 교수님 진료를 바로 잡아 주셔서 방문 하였습니다.1차로 저는 ㅅㅇㅇㅅㄱㄴㅂㅇ ㅈㅇㅇ 교수님 진료(6개월 뒤 CT 찍어보자)2차로 ㅂㄷㅅㅇㄷㅂㅇ ㅇㅈㅅ 교수님 진료 (수술 해야함)3차로 ㄱㄴㅅㅂㄹㅅ ㄱㄱ ㅅ 교수님 진료 (수술 해야함)4차로 ㅇㅍㅅㅁㅂㅇ ㅎㅈㅌ 교수님 진료- 같은 병원 신경외과 집안 의사분이 있어서 그런지, 처음 보시자 말자 친절하게 멀리서 오신다고 고생 하셨습니다말씀 해주시면서 편안하게 해주셨습니다.ㅎㅈㅌ 교수님도 역시 수술 해야 한다고 하셨고요, 일단 경추 4~5번 후궁성형술 해야 하며, 수술전 MRI 촬영을목을 들고 찍고, 목을 숙이고 찍고 하여 최종적으로 수술범위를 결정 해야 한다고 하셨습니다.ㅂㄷㅅㅇㄷㅂㅇ ㅇㅈㅅ 교수님 말씀대로, 제 신경통로??가 남들 평균보다 20%정도 쫍다고 하시네요.(참말로 억울한 케이스죠 ㅠㅠ)- 교수님 께서는 이병은 다른병 하고 다르다. 흔히 맹장 수술 한번 하고나면, 맹장 수술은 그걸로 끝이지만, 여러 분절에 후종인대골화가 진행되고 있다면, 1년에 한번씩 CT 찍어보고, 죽을때까지 관리를 해야한다.- 우리병원에서 수술 할꺼면, 잘해주겠다 하여, 집에가서 집사람이랑 의논하고 다시 말씀 드린다고 했습니다.참 어려운 병인것 같습니다.당장 경추 4~5번만 수술 후 ㅇㅈㅅ교수님, ㄱㄱㅅ 교수님, 몇년후면 퇴직 하실꺼고, 퇴직후 의사 생활을 하실지도 모르고, 퇴직후 수술 받은 4~5번이 골화가 증식되면 재수술 받아야 하는데, 그때 과연 다른 교수님들께서는 재수술을 해주실지 모르고,ㅎㅈㅌ 교수님도 신경외과 명의(헬스조선)이신데, 저희 카페에 보면 ㅎㅈㅌ 교수님한테 수술받은 환우님들이 그렇게 많지는 않는것 같고요...수술도 걱정, 수술후도 걱정,병원 선택도 걱정....참 어려운 병인것 같습니다.....",2023.07.26. 11:46,랜드드
7429,"- 본인이 병원에서 진료를 본 후기나 치료 후기를 회원들에게 알려주세요.- 병원과 의사명은 카페 회칙에 따라 초성으로 작성해 주시기 바랍니다.허리도 목도 퇴행성이구요허리는 15년째 심했다 좀 약했다를 반복하면 그냥 저냥 살고 있습니다2019년에도 등이 아파서 같은 교수님 진료 봤었는데 그땐 그냥 2~3주 후에 통증이 사라졌습니다중간에도 한번 더 아팠던거 같고 이번엔 등통증이 너무 심해서 다시 진료 봤습니다오른쪽 새끼 손가락 절임과 손 팔 아랫쪽 감각이상이 있구요일단 돌출이 보이긴 하지만 등통증은 그것 때문이 아니고 디스크가 퇴행되어 힘을 받지 못해등으로 힘을 받다보니 아픈거라고 하시네요 ㅠㅠ전 등이 어깨에서부터 돌로 눌리는듯한 결림(?) 같은 통증입니다등이 펴지지 않는 느낌 설명이 잘 안되네요소염진통제, 리리카 두달치 처방받았습니다사무직인데 오전엔 좀 참을만 하다 오후가 되면 통증이 점점 심해집니다진통제도 별로 효과는 없구요근데 누우면 괜챦습니다",2023.07.26. 10:30,마리엘
7551,저는 퇴행성목디스크로 골극이 자라있고 현재 보존중입니다.2월에 강남ㅅㅂㄹㅅ ㄱㄱㅅ 교수님 진료봤는데유합술 하자고 말씀들었어요사실 통증이 없는 기간이 더 길기도하고...운동장애나 힘빠짐이 전혀 없어서 수술하기 무섭고해서분당ㅊㅂㅇ ㅇㄷㅎ 교수님 방문 -> 보존하라고 말씀들었습니다대병은 3곳은 다녀야한다길래평촌ㅎㄹㄷ ㄱㅅㅇ 교수님 진료도 5월에 방문했어요다들 진료 길게 봐준다던데 1시간 40분 기다리고 진료 4분 컷 ㅠ...근전도 검사 받고 말하자고 하셨습니다..7월에 근전도 검사 받고 지난주에 검사결과 들었습니다근전도는 대기 별로 없구요(10~20분 대기)생각보다 안아팠습니다..저 진짜 쫄았거든요.. 하도 아프다고 악명이 자자하길래..근데 진짜 별로 안아파요 침치료보다 좀 더 아픈 정도..?이번에는 1시간 정도 대기를 했습니다다행이 근전도는 모두 정상이고 이학적 검사도 했는데신경이 특정 동작을 할 때만 찔리는 것 같으니본인 생활습관에서 어떤 동작 할 때 아픈지 유심히 관찰하라고 하셨어요..!신전운동도 해도 된다고 하셨어요 (그 전엔 골극보시고 신전하지 말라고 하셨는데..!)진료는 한 9분정도 봤고 그냥 근이완제 약처방 해주셨고(리리카 미포함)해당 약도 아플 때만 먹으라고 하셨습니다당분간은 그냥 본인 생활습관 관리 + 관찰 정도하며 보존하라고 하셨어요앞으로는 척추위생 + 생활습관 관찰 + 걷기운동 + 스마트폰 사용 자제위주로 보존을 하려합니다..!!언제 또 아파질지 모르지만 ㅠㅠㅠ일단 최대한 관리해보며 아껴봐야죠...,2023.07.25. 17:09,호로록 꼬르륵
7674,"**수술4개월 외래진료시 상태알림**오른팔 힘 없는거오른다리 오금, 그 옆 부으며 보행불편두발 엄지검지 발가락윗부분까지 전기증상(수술은 오른쪽전방)왼쪽목 임파선줄기 땡기고 이물감뒷목 뻣뻣 통증등짝 딱딱하게 뭉치고 통증조금걸음 왼쪽 발바닥 아치부분 부음사지아침에 뻣뻣해짐 움직이기힘든거보호대 풀고 있을경우 미식거리고 두통탈모진통제추가로 더먹었음(울트라셋 1주 2회정도)*****여기까지 말씀드림****신경외과 ㅈㅅㅇ쌤이 경과가 좋다고 3개월후 보자구 약도 리리카만 주고난 여려증상에 힘들다는데자기수술땜이 아닐꺼라고아침에 사지가 뻣뻣해서 좀 풀어야 풀린다했더니.. 류마티스과로 진료 의뢰보냈어요두 발 전기증상과 오른다리 보행장애 오른손 힘빠짐은 더 지켜봐야한다고근데 등짝아픔 목 이물감 손발 뻣뻣 팔 뻣뻣은 수술로 인한게아니라고보호대풀고 직장도 일상도 다 하라고 ㅠㅠ난 할 상태아니고ㅠ한달후 재활의학과 예약(장애 장해 ) 류마티스과 예약 잡고 지친하루였음!!",2023.07.24. 16:46,주주joo
7798,"고질적인 왼쪽 허리/고관절 통증에 외쪽 다리전체 저림증세로 고생하다가 3년전에 만세365,부민병원, 부산대병원 등여러 명의를 만났지만 별 이상이 없다는 말만하고 소염진통제만 잔뜩처방해주길래 그냥 포기하고 있었습니다.그러다가 최근 운동을 너무 하고싶은데 운동하면 더 통증이 심해져서.. 다시한번 희망을 갖고명의를 찾아갔습니다. ㅈㅇㅁㅎ 병원 ㅅㅅㄱ쌤3년전 MRI영상을 보시고 신경근전도 검사, CT, X레이 까지 검사를 진행하고 나서 결과를 보시더니결국 이상을 발견하지 못한듯.. 방사통이 아니고 근전이? 암튼 그림까지 보여주셨는데 그때 집중을못해서. 지금까지 당연히 방사통이라고 생각하고 다른 의사쌤한테 들어왔는데 방사통이 아니라하셔서...호통까지 치지더군요ㅜㅜ암튼 근력검사를 진행하고 운동요법을 시켜서 낫게해주시겠다고 하는데...그런게 효과가 있을지. 왠지 과잉진료 느낌이 강해서 ㅜㅜ검사는 총 3가지라고 하던데... 동적체평형검 12만 , 동작분석 7만 , 동족저압측정 5만뭐가 더 있는지 간호사가 총 30만원 생각하라하네요.효과만 있으면 해보겠는데 .. 왠지 믿음이 좀 안가서 ;; 그냥 혼자해도 되거나 다른 방법이 좋을지.조언 좀 부탁드립니다.",2023.07.22. 23:16,조청
7923,"6월초부터 방사통이 심했고, 종아리 근육이 올라가고 햄스트링쪽이 수축되서 근 한달을 동네통증의학과병원을 다니다가..카페를 알게 되었어요~일을 하고 있는지라, ㅠ진료시간이 맞고, 병원이 집과 가까운곳을 찾다가저번주에 ㄱㅅㄷ학교병원 ㅇㅅㅈ선생님 뵈었어요.선생님 면담하고서, 엑스레이를 4부위정도 촬영했구요정면, 측면에서 허리 구부리고.. 찍고 하더라구요.촬영후에 다시 샘 면담갓는데저는 일단 디스크가 언제인지는 모르겠지만 한번 터졌다가 흡수된거같다고 하시구요.. (엑스레이 화질은 좋더라구요)그리고 척추사이의 간격이 엑스레이상으로도 일정하게ㅣ 보이지 않았어요 ㅜㅜㅜㅜ(제 추정으로는 둘째 낳고나서, 아기를 안다가 찌릿ㅡ 해가지고 허리 복대차고 못걸어 다닌적이 있었는데 그때인거 같기도해요... )제 상태를 알기 쉽게 설명해주시는데 이해가 빨리되었구요 ㅎ출산을 했기 때문에 그것와 연관지어서 설명해주셨어요 ~(아무래도 출산한 여성은 ㅡ 아기띠나 아기를 안는 자세로 인해 어깨가 안쪽으로 숙여지는 자세를 하게되고, 남자와 다르게 가슴을 쫙펴고 걷는자세를 유지하는게 쉽지 않앗을거라며.. 그게 육아하는동안 계속 이어지기 때문에 지금도 알게 모르게 구부정하게 걸었을거라고 이야기하셨어요.)그래서 약처방을 해주셨는데소염제만 먹어도 되긴하지만, 소염제를 많이먹으면 콩팥에 무리가 가기때문에 미미하지만 마약성분있는 약을 같이 쓰는게 무리가 없을거라며 처방해주시더라구요.일단 이게 지난주 진료 후기구요 ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ이번주는 약을 먹으면서 통증이 어느정도인지 봤는데요.월요일에 빈속으로 약을 먹고 식겁했어요 ..원래 아침식사를 안하는데, 약을 먹어야하니 그냥 대수롭지 않게 먹었는데 위가 미친듯이 쓰리더라구요 두통도 살짝왔구요.(쌤이 그런 부작용이 있을수 있다했는데.. 저는 부작용이기보다는 지금보니 빈속에 먹어서 그랬던거같아요)약을 먹어서 통증정도가 약해진거 같았긴한데저림이나 통증이 아예 사라지지는 않았어요. ㅠ그래서 어제 선생님 뵈었을때 말씀드렸고..내일 입원해서 일단 목~ 허리까지 촬영할 예정이에요.일단 촬영해보고 선생님과 다시 이야기하면제 상태를 정확히 알수있을거 같아요.제가 젊어서 시술.수술은 이야기 하지 않으셨는데..방사통ㅇㅣ 계속되면 시술해야할까요?",2023.07.22. 09:41,링가
8049,"안녕하세요!!!이제 막 아장아장 걸어다니려는 아기랑 놀아주다가 갑자기 퍽하는 느낌과 함께며칠 허리통증 및 방사통으로 앓다가 결국 허리디스크로 판명받은 직장인 아빠입니다 ㅠㅠ엄청난 오른쪽 허벅지 방사통과 함께 버티고 버티다7월 6일날 ㅅㄷㅇㅅㅈㅎㅇㄱ에서 MRI 촬영 및 1, 2, 3번 급성 추간판탈출증 진단 받아 약으로 연명해오다결국 7월 10일 통증을 이기다 못해 결국 ㅅㄷㅍㄹㅅㅈㅎㅇㄱ에서 신경성형술 시술 받았습니다 ㅠㅠ금액은 약 200만원정도 나왔습니다... ㅠ(이 통증좀 어떻게 좀 도와달라며......)시술은 약 20분 정도 걸렸고요..... 제가 1번쪽이 심해서 카데터(?)가 깊숙히 들어가야하는 바람에 엄청난 통증으로 시술을 끝냈습니다.......실비관련 문제로 입원 1일하고 오전에 퇴원 후 지금 약 10일 정도 병가를 사용중인 상태입니다.....이게 몸안에 잔여중인 스테로이드 효과가 남아서인지..... 여럿 궁금하긴 합니다만(진통제 등 구강약은 2일전에 다 먹어서 먹지않고 있습니다)현재까지는 다행히 이전처럼 엄청난 통증은 없습니다.(최대 통증 10이라면 현재는 약 1~3정도 / 신전운동한다고 허리를 심하게 뒤로 젖히면 허벅지쪽에 통증이 있긴 합니다)지금은 와이프와 함께 하루 1만보 정도 걷기 및 계단오르기 병행하면서 노력중입니다.신경성형술이 사람마다 호불호가 갈리는 시술에 효과가 있다 없다가 논란이 많은 시술이지만,다행히 저에게는 아직까지는 큰 통증은 없어서 다행이라고 생각합니다.....저는 이렇게 허리디스크 진단을 받기 전까지 이렇게 많은 분들이 고통을 겪었는지 이 카페를 가입하고 처음 알았습니다모두 빨리 쾌차하는 날들이 오길 기대하겠습니다!!!!",2023.07.21. 09:50,뀨띵
8304,인천 ㄷㄷㄹ병원에서 척추관절 전문이신ㄱㅊㄱ병원장님 완전 명의십니다!!!힘드셨을 케이스인 저는 임산부 인데요..여기 오기전에는 임산부라 다른의사분들은 치료자체를 포기하셨는데 저를 포기하지않으시고 수술해주셔서 너무 감사드려용ㅠㅠ!!되려 수술후 저에게 잘 회복해주셔서 감사하다고 하셨을때진짜 눈물이 찡......너무 감동했습니다.보통 병원장님 이나 대표원장님이면 까칠하시거나 친절하지 않은 경우도 많았는데 ㄷㄷㄹ병원은 병원장님부터 모든 의료진들이 진짜 거짓말 하나도 안하고 너무 친절하세요.데스크 원무과선생님들도 왕 친절솔직히 환자가 아프면 ㅇㅖ민해져서 말한마디에 기분나쁘거나 상처받잖아요 근데 여기는 그런게 전혀 없었어요특히 제가 폐쇄공포증이 진짜 심해서 mri찍을때 너무 무서웠는데 mri찍어주는 분중에 성함은 모르겠지만 남자선생님이 진짜 감동일정도로 잘 챙겨주셔서 용기있게 mri세번이나 무사히 찍었습니다! ㄷㄷㄹ병원말고 다른 병원에서 mri찍었으면 못 찍었을꺼같아요ㅠㅠ수술하고 2박3일 입원햇는데요ㄷㄷㄹ병원 간호간병통합입원실이라 보호자 없어도 충분히 입원생활 할 수 있었어옹수술하고 당일에는 거의 누워서 못 움직였는데 사소한거 하나를 부탁드려도 귀찮은 기색 전혀없이 다 들어주시고필요하면 또 부르라고 말씀도 해주시고!제가 이것저것 물어보면 다 알아봐주시고5병동에 있던 간호사분들 모두다 진짜 세심하게 잘 챙겨주셨어용ㅠㅠ하지방사통이 너무 심해 처음 진료 보러갓을때는똑바로 서지도 못하고 뒤뚱뒤뚱 절뚝이면서 걸어 진료실 들어갔는데원장님께 수술한지 3일차 지금 거의 95프로 이상디스크 터지기 전이랑 비슷하게 걷고있습니다!!하지방사통은 100프로 없어졌구요발바닥 저림은 아직 남아있지만 수술전에 말해주셨는데천천히 감각 돌아온다고한달이상 지켜봐야된다고 하시더라구용수술부위인 허리는 아직 실밥이 있기도 하고 상처아무는거 때문에 약간 땡기긴 하지만!! 불편하지 않은 정도 입니당ㅠㅠ 진짜 한달 넘게 너무 아팠는데 지금 새 삶을 살고 있습니다!! 오늘 무리가지않는 선에 집안일도 오랜만에 했네용ㅎㅎ여러분도 모두 무통하시길 기원합니당^^,2023.07.20. 17:05,돈라
8433,작년 9월에 맞은 척전 병원한달전엔 동네 정형외과에서 비스테로이드로또 한달전엔 대학병원에서 스테로이드로그리고 또 한달뒤인 오늘 예약 잡아서 바로 맞고 왔습니다.작년에는 엄청 대기 했는데 오늘은 딱 맞춰서 바로 진료 보고 맞았네요오랫만에 방문이라며 mri 찍어보자고 다시 이야기 하는 선생님 원래도 이병원이 mri가 쌌습니다 30만원대근데 보험이 적용돼서 이제 15만원이라네요거의 주사 한대 가격.. 너무 빨리 타다닥 말하시는 선생님에게 끌려 네네 하다가 일주일뒤에 잡아놓고 왔습니다.물론 주사 맞아보고 괜찮으면 취소해도 된다는 말을 들어서도 있지만요이병원은 여러방 놓지도 않고 그냥 순식간에 소독제 바르고 따끔 이란 말과 함께 마취약 넣고 바로 한방 쾅 놓습니다.어엌..하는 순간 바로 끝납니다.그나마 많이 맞았던 주사중에 효과가 있는거 같아서 이번에 맞은건데 지켜봐야 할거 같네요아마 진료는 조금 미뤄야 할거 같긴합니다.일주일은 너무 짧아서 .. 최소 2주정도는 봐야 하지 않을까 싶네요 .사실 먹는약은 타올 생각 없었는데 그냥 일주일치만 지어줘서 받아왔습니다.집에 너무 많은 낙소졸과 리리카 입니다.,2023.07.20. 15:35,디수쿠
8563,"뉴론틴캡슐300mg,, 파라마셋정, 위장약을 처방 받아서 8일째 복용중인데 잠을 제대로 못자고 새벽 12시-3시에 꼭깨면 목통증,오른어깨통증,오른팔손절임으로 아침약먹을때까지 온찜질,냉찜질해보고 혹시 베게로 그런가 싶어 여러게 번갈아 비워비는데 딱히 통증감소는 안되네요...아침,점심,저녁심 약복용후에는 통증은 가끔 있지만 참을만 해서 걷기를 30분씩 3번합니다.잠자고 이러나면 통증이 시작되는게 왜 이럴가요?혹시 도움되는 말 있으시면 부탁드립니다.",2023.07.20. 11:55,ymcho882
8694,"오늘 진료 다녀왔습니다ㅅㅂㄹㅅ에서 수술 날짜 먼저 잡았었어요 까페서 보니 수술을 3번이나 하신 분이 계시더라구요걱정이 되서 ㅈㅇㅇ교수님 진료 추가로 봤는데 제가 진료 본 경험을 알려 드릴께요타병원 같은 ct,MRI 영상으로 두분께 진료 봤는데ㅅㅂㄹㅅ는 (두통 목쪽 뻐근함과 어깨 통증 손에서 힘이 빠진다)라는 증상 말씀 드렸고 곧장 수술은 불가피하다 일단 수술후 2-3개월의 재활이 필요하니 기간 고려하고 직장 다니면 회사와 상의 후 치료 기간 확보하라고 말씀하셨어요검사해보면 목 아래 부분도 문제 있을 거라고 하시면서 수술할거면 나가서 간호사랑 상의하라고 하시고 진료 끝내셨죠마비라는 얘기에 기겁하면서 수술날짜 잡고 왔어요ㅈㅇㅇ교수님은 영상을 꼼꼼히 살펴보시고 목부터 허리까지 꼼꼼히 봐주셨고 증상 물어보시고 신경학적검사 후에 아직은 마비가 진행되지 않아서 좀 더 지켜보자고 하셨어요 하지만 넘어지거나 충격이 갈 때는 큰일 나니 항상 목을 모셔야 한다고 하셨구요 당장 수술 해야 하는지 여쭤 봤을 떈 수술로 잃는 것도 많기에 조금 더 지켜보자고 하셨어요그리고 척추 전체 MRI봐주시면서 허리쪽도 후종인대골화 의심 부위 있다 하시고 다음 진료 시 CT검사해보자고 하셨어요 혹시 응급시엔 바로 병원 오라고 하셨어요ㅅㅂㄹㅅ수술예약은 잡아둔 상태지만 오늘 ㅈㅇㅇ교수님 뵙고나니 더 신뢰가 가서 갈등중입니다여러군데 가보시는걸 추천드리고 수술은 꼭 경험 많으신 분을 선택하셨으면 좋겠어요",2023.07.20. 11:50,ox02
8826,전 인천에서 살고 있습니다ㄱㅂㅇ 이 제일 가깝고요2년만에 바뀐 허리의 증상과마미총의심이 들어 갔습니다방사통도 새로 생기니이것저것 물었습니다처음엔 ct만으로 촬영하자예기하시다가마미총 증상을 추가적으로 묻고이것저것 대답하시다가고민을 하시더니바로 mri로 넘어 갔습니다정말 사람도 많고대기인원에 기다리다가 지치네요mri 찍는것도 오래 걸리고대학병원이라고빠르진 않네요응급실에 두대본관과 서브건물에 두대이렇게 있는걸로 아는데응급실은 뭐 초 응급 아닌이상못찍을테고본관의 두대로수십명의 진료인원을 커버하니대기기간도 점점 늘어나는군요,2023.07.18. 15:28,오픈소스
8959,디스크탈출로 동네 개인병원만 다녀보다가 점점 더 아파와서대구지역 대학병원에 가볼 생각인데요어디 대학병원이 찮을까요? 대구지역 대학병원 허리 쪽으로 진료받아보신분 혹시대학병원이랑 교수님 추천좀 받고싶어서요쫌 가르쳐주세요ㅠㅠ 수술은 피하고싶은데 약먹으면서 버뎌볼끼ㅏ싶어요ㅜㅜ대학병원 약이 괜찮을까요? ㅇㄷ병원이랑 ㄱㅌㄹ병원 생각중인데 가보신분 계신지요?ㅜㅜ,2023.07.18. 12:54,젤리퐁
9093,병력6개월전 퇴행성 관절(허리) 진단2주전 건강검진에서 CT촬영시 4-5번(연골 60퍼) / 5번-1번(연골반정도 남음) 팽만 진단최근 통증으로 허리 굽혔다 펴기 힘들어서 병원 방문했는데FIMS주사랑 약처방받고물리치료 받았어요.친절하게 괜찮은 것 같네여아직은 운동하지 말라고 하는데언제부터 운동해야될까요,2023.07.17. 20:54,아흐레의날
9228,"지난 외래진료 후 일주일을 기다려 신경성형술을 받았습니다.한국에서 디스크와 협착증에 풍선확장술 처음 적용하신 분이 ㅅㅈㅇ교수님이시더라고요. 그래서 그냥 교수님 믿고 결정했습니다.꼬리뼈 부분 국소마취 후 시술이 시작되었고 약 30분~40분정도 걸린 것 같습니다.카테터 넣고 문제부위 풍선확장 할 때는 평소와 같은 통증이 있었고 풍선으로 확장시킨 후 고농도생리식염수와 몇가지 약을 넣고 시술이 끝났습니다.카테터는 꼬리뼈에 꽂은 채 회복실로 와서 1시간 간격으로 약을 세번 넣습니다.이것또한 다리가 아프더라고요.하지만 회복하면서 다리 느낌은 정상으로 돌아옵니다.아직 약간 아픈듯 하지만 내일이 기대되네요...!!!바로 괜찮아지진 않을 것 같고 3일동안 회복하려합니다.잘 끝나서 다행이네요.비용은 예상 금액 이하였어요. 결제는 아빠가 하셔서 자세한 금액은 모르구요, 대충 200이하입니다.질문!장마철에는 걷기 운동 어떻게 하시나요??운동화 신고 우산쓰고 걸으시나요?",2023.07.17. 20:39,김춘식
9364,오전 11시 진료인데 초진이라 CD등록하고 서류제출등등 때문에 9시 30분쯤 1동 원무과에 내원했어요입구부터 엄청막히고 주차 완전 지옥이에요ㅠㅠ 앞에서부터 계속 꼬여서 주차만 거의 3-40분 걸린거 같아요진료는 20분 정도씩 미뤄졌고 안쪽에 들어가서 대기하는데 진료실에서 소리지르면서 싸우는 소리 들려서좀 긴장했어요.. (심하게 싸운건 아니고 환자분이 자꾸안된다는걸 해달라고 우기는 상황)교수님 말투가 엄청 상냥하다거나 다정하진 않지만명확하게 문제점을 짚어주셔서 오히려 더 신뢰갔어요우선 저희 할아버지는 80대 초반이시고 몇개월 전부터계속 통증때문에 일상생활을 못하셔서 내원했는데요통증주사도 내성이 생겼는지 더이상 효과가 없고방사통은 점점 심해지는 상황이였어요저희는 수술까지 마음먹고 진료 봤는데 교수님께서정말 이상한 케이스라고 하시면서 환자가 느끼는 통증에 비해서 mri 상으로는 정도가 많이 심하지 않고경미한 수준이다. 디스크도 있고 협착증도 있지만수술이 필요할 정도로 심한건 전혀 아니다 하셨어요일어나서 진료실 왕복으로 두번정도 걷게 시키셨고다시 자료 보시더니 바깥쪽으로 디스크가 살짝 튀어나왔는데 심각하게 문제될 정도는 전혀 아니라고하시고협착증도 주사치료까지 안해도 될 정도라고 하셨어요그냥 약으로도 충분히 잡힐거같다고 이렇게 통증을느끼는게 설명이 안될정도로 경하다. 하지만 걷는게많이 불편하고 심각해 보이니 주사치료를 먼저 진행하는 방향으로 해보자고 하셔서 통증클리닉으로연결해 주셨어요.근데 여기서 문제가 생겼는데 평소에 당뇨가 없는줄알았는데 검사를 해보니 당 수치가 500이 넘어서주사를 맞으면 염증이나 감염이 일어날 가능성이너무 높아 일단 당부터 조절한 후에 치료를 시작하자고하셔서 지금 인슐린주사 시작한지 2주정도 지났어요!Mri상으로는 정도가 경하다고 하니 좋은건가 싶다가도할아버지께서 느끼시는 통증은 심하니 도대체 뭘까싶어서 고민이네요ㅠㅠ카페에서 도움을 너무 많이 받아서 저도 작은 정보라도나누고자 진료후기글을 작성해 보았습니다! 혹시라도궁금한점이 있으시다면 아는 선에서 답변드릴게요!,2023.07.17. 18:59,얍얍얍뿌
9501,보존치료로 이겨내고 싶었는데 결국 의술의 힘에 맡겨 보기로 했어요..ㅠ신경차단주사 2차까지 맞았음에도 불구하고 차도가 없다하니 수술이나 시술을 결정해야될것같다 하셔서 시술하겠다하고 날짜잡고 왔어요.다리만 저리면 보존치료로 극복하려했는데 대변볼때 힘이 주어지지않아서 너무 힘들고 그나마 힘을 조금이라도 쓰게되면 찌릿함이 엉덩이부터 발끝까지 ..통증이 한참을 가네요 앉았다가 일어나면 엉덩이가 때려맞은것처럼 얼얼하고 저리면서 그증상이 발까지 내려가요.그럴땐 다리가 너무 무겁고 걷기가 힘들더라구요.근데 시술후기보니까 너무 무섭네요. 제가 겁이 많아요..ㅠ신경성형술이랑 수핵성형술로 시술할 예정이라는데 시술하면 좋아지겠죠?,2023.07.17. 16:35,방사통탈출
9778,"7주차 때 통증없이 버틸 수 있으면 약을 줄여 먹어보라고 권유받고4주 뒤에 진료보고 후기가 늦었네요.치료 기록 유지 차 작성해봅니다!지금 어깨에 지속된 통증은 0입니다.다만 왼쪽 손에 피안통하고 통할 때 느껴지는 약간 저림은 남아 있어요.그리고 힘도 60% 정도 들어가는 것 같아요!약은 지난 처방 때 남은 처방으로 먹고 통증이 심해지면 언제든지 내원하라고 해주셨고 2달 뒤에 뵙는 걸로 했어요!지금 상태로는 일상생활은 문제가 없는데, 운동(골프)이나 악력쓰는 활동은 다소 힘들어요. 봉투를 뜯거나 애기 머리 묶는 정교한 작업도 힘듬.앞으로는 걷기나 밸런스 잡는 코어 운동이라도 해서 회복해봐야겠어요!저랑 비슷하신 분은 좋아지셨다면 후기 남겨주세요!!",2023.07.15. 13:29,BlackCactus
9918,"분당 ㅁㅇ ㅇ 대학 마통과에서 어깨찢어졌다하고 저두 팔을 들어올릴때 너무나 힘듭니다.ㅈ춘천 ㅇㅇ정형외과에서어깨 mri판독 주사도 안되고 수술밖에 없다네요.왜마통과갔냐 목디스크때매 갔다가 어깨도 알게됐다하니,수술권하고싶지않다 아픈거 없애는방법은 수술이다. 관절에 벌어졌다고했어요.메꿔야된다고하심. .",2023.07.14. 18:12,dll987
10059,안녕하십니까?모든 디스크로 고생하시는분들 빠른 쾌유를 바람니다저는 1년전부터 허리가 뻐근하고 해서 치료 받으며 계속 일을 했습니다. 근대 치료라는게 치료와 일은 병합이 안되는지 점차 좌측 허벅지로 내려오고 종아리까지 내려오드니 발바닦까지 저릴정도로 발전하다가 정형외과도 바꿔보고 한의원도 다녀보고 했습니다. 차도가 보이지 않드라구여 그래서 근처 재활의학과를 좀 다니면서 발바닦으로 내려오는것과 못 참을 정도로 아픈것 까지는 호전이 됬는데 더 이상은 좋아지지 않드라구여 그래서 일주일에 한시간씩 시간을 내어 가볍게 달리기를 했드니 재활치료 받는것과비슷한 효과를 밨지만 그것도 더이상 호전은 안 보연습니다.일상생활은 할수 있을정도이기에 더 좋아질수 없을까 하는 맘에 일주일전 유명한 전문병원에서 레이저 시술을 받았습니다. 받기전 걸어다니고 뛰고 일상생활은 무리가 없을정도이고 일만 못할정였습니다.그래서 시술을 받았는데 받은후 부터 받기전보다 걷기도 못하고 이틀 후 부터는 서 있으면 아파서 걸음을 못 걸을 정도 되였고 지금은 6일째인데 1분만 걸어도 좌측 엉덩이와 허벅지 사이가 못참을정도로 쑤시고 아프며 반듯이 누워도 못 참을정도로 아픔니다 시술해주신 교수님은 시술이 잘 되여 디스크제거가 아주 깔끔히 됬다고 하시는데 잘 됬으면 안 아파야 되는게 아닌지 원래 이렇게 아픈지? 모르겠네요 비슷햐 시술이나 경험해보신분들 조언이나 경험 나눠주시면 감사하겠습니다 꾸벅~~,2023.07.13. 21:09,콩이들아빠
